Id,2021-01-02 21:40:00
0001,2,0
0387,3,0
0405,0,0
0411,10,0
0413,2,0
0414,10,0
0003,8,0
0007,14,0
0008,3,0
0009,7,0
0010,14,0
0016,10,0
0018,0,0
0021,5,0
0013,8,0
0200,15,0
0201,14,0
0204,4,0
0206,1,0
0207,13,0
0210,18,0
0100,13,0
0202,9,0
0203,2,0
0205,0,0
0209,16,24
0211,20,0
0216,10,0
0215,4,0
0218,14,0
0214,8,0
0213,7,0
0219,9,0
0120,5,0
0125,14,0
0415,13,0
0452,10,0
0421,6,0
0423,8,0
0431,6,0
0432,12,0
0440,13,0
0442,1,0
0451,7,0
0460,2,0
0461,9,0
0462,5,0
0483,14,0
0430,15,0
0317,5,0
0351,14,21
0439,4,0
0250,6,21
0391,0,0
0396,0,0
0338,10,0
0326,9,0
0337,8,0
0328,13,0
0307,12,0
0208,9,0
0028,8,0
0301,3,0
0345,10,0
0344,5,0
0350,12,0
0362,17,0
0023,11,0
0038,4,0
0077,8,0
0119,4,0
0073,5,0
0246,6,0
0363,3,0
0364,5,0
0365,5,0
0368,1,0
0370,9,0
0371,2,0
0029,12,0
0357,4,0
0043,2,0
0374,7,0
0375,10,0
0376,7,0
0381,5,0
0384,3,0
0385,5,0
0420,3,0
0441,6,0
0444,18,0
0445,6,0
0446,5,0
0470,9,0
0480,10,0
0481,7,0
0482,1,0
0389,7,0
0464,24,0
0465,15,0
0466,27,0
0469,9,0
0080,6,0
0081,9,0
0084,7,0
0085,9,0
0060,4,0
0390,10,0
0335,0,0
0336,2,0
0394,13,0
0309,1,0
0407,3,0
0245,13,0
0410,6,0
0248,6,0
0416,8,0
0453,21,0
0485,9,0
0157,29,0
0005,7,0
0017,6,0
0380,12,0
0323,19,0
0049,8,0
0603,5,0
0422,7,0
0404,7,0
0004,1,0
0412,8,0
0475,16,0
0031,12,0
0022,13,0
0136,7,0
0459,5,0
0002,12,0
0305,7,0
0039,6,0
0058,10,0
0072,10,0
0349,12,0
0382,6,0
0379,4,0
0343,12,0
0318,1,0
0321,4,0
0330,0,0
0331,8,0
0332,15,0
0333,9,0
0443,4,0
0471,10,0
0472,11,0
0417,12,0
0251,4,0
0146,8,0
0393,2,0
0236,8,0
0339,2,0
0397,9,0
0489,6,0
0484,6,0
0528,4,0
0329,8,0
0399,6,0
0308,5,0
0342,12,0
0487,17,0
0478,7,0
0491,12,0
0488,12,0
0492,1,0
0434,13,0
0455,12,0
0435,12,0
0457,9,0
0433,16,0
0262,9,0
0082,17,0
0261,1,0
0477,2,0
0527,9,0
0500,16,0
0438,9,0
0019,3,0
0030,1,0
0386,4,0
0406,8,0
0240,14,0
0226,13,0
0138,12,0
0243,4,23
0224,16,0
0102,16,21
0027,8,0
0059,14,0
0128,3,0
0230,6,0
0458,0,0
0221,23,0
0750,3,0
0033,5,0
0223,5,0
0222,7,0
0388,5,0
0233,4,0
0395,7,0
0325,5,0
0319,13,0
0272,8,0
0150,0,30
0144,10,0
0244,7,0
0358,10,0
0356,3,0
0353,3,0
0252,3,0
0378,9,0
0383,18,0
0377,10,0
0234,7,0
0040,12,0
0355,6,0
0352,14,0
0228,5,0
0532,12,0
0229,10,0
0231,17,0
0334,13,0
0600,6,0
0408,5,0
0271,14,0
0450,18,0
0276,8,0
0463,0,0
0473,9,0
0474,6,0
0149,8,0
0260,6,0
0050,9,0
0034,11,0
0037,11,0
0053,9,0
0265,9,0
0490,12,0
0268,11,0
0538,14,0
0083,14,0
0020,5,0
0015,16,0
0267,11,0
0057,11,0
0006,10,0
0011,1,0
0056,16,0
0032,9,0
0075,8,0
0104,1,0
0217,10,0
0074,9,0
0263,5,0
0403,5,0
0225,9,0
0070,1,0
0212,13,0
0035,3,0
0479,11,0
0424,12,0
0751,10,0
0310,7,0
0311,0,12
0232,5,0
0054,6,0
0401,5,0
0360,13,0
0320,9,0
0313,8,0
0359,16,0
0241,11,17
0315,6,0
0024,11,0
0402,0,0
0312,11,0
0428,4,0
0012,8,0
0122,12,0
0148,4,0
0521,2,0
0047,4,0
0055,8,0
0071,5,0
0076,13,0
0078,7,0
0304,10,0
0522,6,0
0510,4,0
0512,6,0
0237,7,0
0300,12,0
0302,9,0
0303,13,0
0314,6,0
0316,12,0
0340,9,0
0341,7,0
0513,11,0
0346,4,0
0347,6,0
0348,10,0
0531,7,0
0354,7,0
0361,3,0
0529,10,0
0130,22,0
0291,1,0
0288,7,0
0253,5,0
0255,10,0
0114,5,0
0108,2,0
0042,7,0
0515,9,0
0259,8,12
0652,5,0
0086,13,0
0606,8,0
0690,5,0
0296,10,0
0499,15,0
0284,9,0
0504,11,0
0505,4,0
0502,9,0
0448,8,0
0476,14,0
0456,8,0
0426,7,0
0115,8,0
0116,9,0
0392,6,0
0264,11,0
0537,12,0
0046,15,0
0539,10,0
0654,13,0
0682,5,0
0278,6,0
0280,2,0
0273,8,0
0533,7,0
0520,10,0
0523,12,0
0279,12,0
0281,8,0
0282,5,0
0287,8,0
0506,12,0
0536,9,0
0494,10,0
0535,4,0
0292,3,0
0141,14,0
0604,6,0
0048,11,0
0062,10,0
0615,8,0
0680,10,0
0619,8,0
0429,9,0
0409,10,0
0051,7,0
0257,8,0
0509,8,0
0524,4,0
0501,13,0
0041,23,0
0052,6,0
0111,9,0
0650,7,0
0687,5,0
0683,10,0
0290,5,0
0285,3,0
0436,13,0
0447,8,0
0152,9,0
0106,5,0
0158,21,0
0247,11,0
0069,11,0
0686,8,0
0684,3,0
0418,8,0
0289,4,0
0286,3,0
0427,7,0
0497,4,0
0486,7,0
0493,10,0
0503,10,0
0220,16,24
0110,1,0
0400,1,0
0543,11,0
0688,1,0
0270,6,0
0249,7,0
0507,9,0
0525,8,0
0449,9,0
0498,0,0
0283,4,0
0113,8,0
0117,0,12
0256,8,0
0063,11,0
0540,18,0
0045,14,0
0227,5,0
0605,19,0
0685,11,0
0254,9,0
0511,17,0
0495,8,0
0154,8,0
0239,7,0
0661,10,0
0679,12,0
0667,8,0
0468,0,0
0697,2,0
0695,5,0
0496,6,0
0692,1,0
0677,8,0
0663,7,0
0664,18,0
0665,4,0
0614,6,0
0681,2,0
0088,5,0
0508,8,0
0620,8,0
0722,0,0
0706,6,0
0708,10,0
0720,5,0
0734,1,0
0721,10,0
0740,11,0
0771,5,0
0700,12,24
0770,0,12
0776,19,0
0705,2,0
0275,9,0
0617,6,0
0674,6,0
0238,0,18
0454,14,0
0242,8,0
0295,14,0
0689,5,0
0546,3,0
0297,8,0
0298,1,0
0299,9,0
0514,7,0
0516,2,0
0519,7,0
0666,6,0
0612,6,0
0609,9,0
0611,5,0
0701,5,0
0775,2,0
0752,4,0
0694,7,0
0293,2,0
0696,15,0
0698,9,0
0541,5,0
0266,2,0
0269,9,0
0274,9,0
0518,5,0
0544,4,0
0294,8,0
0676,9,0
0678,17,0
0061,3,0
0621,5,0
0623,10,0
0723,2,0
0738,9,0
0709,4,0
0729,0,0
0731,11,0
0732,8,0
0703,6,0
0796,10,0
0798,5,0
0799,8,0
0778,9,0
0713,11,0
0718,7,14
0545,1,0
0672,12,0
0675,2,0
0699,6,0
0467,9,0
0258,8,0
0693,0,0
0670,4,0
0660,1,0
0662,3,0
0671,3,0
0673,1,0
0618,8,0
0277,8,0
0517,0,0
0087,3,0
0147,2,0
0366,10,0
0724,3,0
0736,9,0
0710,5,0
0716,7,0
0774,2,0
0794,5,0
0797,5,0
0885,11,0
0560,9,0
0899,4,0
0766,7,0
0828,6,0
0832,7,0
0835,0,0
0841,15,0
0842,5,0
0809,9,0
0552,13,0
0550,7,0
0767,10,0
0547,2,0
0780,13,0
0854,3,0
0853,9,0
0725,11,0
0726,5,0
0730,9,0
0622,12,0
0616,9,0
0825,13,0
0827,10,0
0812,7,0
0753,8,0
0562,2,0
0570,5,0
0566,0,0
0576,12,0
0574,10,0
0894,3,0
0893,7,0
0555,10,0
0786,0,0
0790,1,0
0791,4,0
0824,5,0
0763,0,21
0890,14,0
0856,11,0
0857,6,0
0855,15,0
0870,14,0
0869,8,0
0831,6,0
0704,14,0
0669,7,0
0668,6,0
0702,7,0
0808,9,0
0815,13,0
0840,0,24
0437,6,0
0655,9,0
0801,10,0
0768,8,0
0707,2,0
0769,15,0
0830,0,0
0836,8,0
0837,13,0
0548,11,0
0838,5,0
0868,9,0
0852,7,0
0728,6,0
0895,5,0
0896,13,0
0898,12,0
0792,9,0
0850,7,0
0851,13,0
0810,9,0
0866,9,0
0793,12,0
0765,7,0
0805,6,0
0579,5,0
0563,1,0
0568,2,0
0578,12,0
0800,10,0
0814,13,0
0897,10,0
0886,0,21
0575,10,0
0572,7,0
0569,3,0
0577,2,0
0580,2,0
0558,14,0
0788,3,0
0789,9,0
0795,12,0
0822,9,0
0818,6,0
0764,9,0
0565,12,0
0867,14,0
0584,11,0
0235,6,0
0887,9,0
0888,11,0
0889,8,0
0735,7,0
0737,3,0
0733,6,0
0653,9,0
0739,8,0
0839,16,0
0844,0,30
0829,0,18
0843,0,21
0557,10,0
0773,6,0
0556,10,0
0781,4,0
0583,15,0
0559,8,0
0199,0,15
0582,5,0
0103,8,0
0197,0,15
0585,15,0
0865,6,0
0581,8,0
0741,8,0
0858,0,24
0196,0,18
0198,0,21
